order_date,order_id,product_name,quantity,product_sales_total
8/1/2019 3:40,10001,VWash Plus Intimate Hygiene Wash 100ml,1,5000
8/1/2019 7:25,10002,O.B Original Super Tampons 8 Pieces,1,2100
8/1/2019 7:30,10003,Best Ladies Maxi 10Pads,1,600
8/1/2019 7:36,10004,Geisha Bath Soap Soothing Aloe Vera 225g,1,700
8/1/2019 7:36,10005,Supa Sanitary Pads 10Pieces,2,1600
8/1/2019 7:41,10006,Supa Sanitary Pads 10Pieces,2,1600
8/1/2019 7:41,10007,Lifebuoy Germ Protection Antibacterial Total 10 Hand Body Soap Bar Pack of 2 x 75gr + 1 Free,3,600
8/1/2019 7:41,10008,Vaseline Cocoa Glow Intensive Care Body Lotion - 400mL,1,2500
8/1/2019 7:56,10009,Best Ladies Maxi 10Pads,5,3000
8/1/2019 8:06,10010,Supa Sanitary Pads 10Pieces,2,1600
8/1/2019 8:11,10011,Tembo Soap (2 pieces)*224g,4,1200
8/1/2019 8:26,10012,Sante Bathing Bar Soap Pack of 3 x 75gr,18,3600
8/1/2019 8:26,10013,NorLevo Emergency Contraceptive Pill - 1 Tablet,1,600
8/1/2019 8:26,10014,Innotex Classic Condoms Pack of 3,2,200
8/1/2019 8:26,10015,Oraquick HIV Self Test,2,0
8/1/2019 8:35,10016,Geisha Cocoa Butter Body Lotion 200ml,1,700
8/1/2019 8:41,10017,Levonorgestrel Emergency Contraceptive Pill - 1 Tablet,1,6000
8/1/2019 8:46,10018,NorLevo Emergency Contraceptive Pill - 1 Tablet,1,6000
8/1/2019 8:46,10019,Supa Sanitary Pads 10Pieces,5,4000
8/1/2019 8:51,10020,NorLevo Emergency Contraceptive Pill - 1 Tablet,1,600
8/1/2019 8:51,10021,Oraquick HIV Self Test,2,0
8/1/2019 8:56,10022,Tembo Soap (2 pieces)*224g,10,3000
8/1/2019 8:56,10023,NorLevo Emergency Contraceptive Pill - 1 Tablet,1,6000
8/1/2019 8:56,10024,NorLevo Emergency Contraceptive Pill - 1 Tablet,1,6000
